baby,file1,file2,score
300,300_187_5419.27_5419.87.wav,300_187_5455.54_5456.14.wav,2
344,344_283_36718.98_36719.58.wav,344_283_36720.38_36720.98.wav,1
344,344_283_12862.56_12865.33.wav,344_283_12890_12890.6.wav,2
300,300_187_109.57_113.07.wav,300_187_124.3_125.9.wav,2
437,437_548_27122.95_27126.36.wav,437_548_27127.16_27127.92.wav,2
196,196_272_3369.22_3369.86.wav,196_272_3382.75_3384.88.wav,2
344,344_283_23520.95_23523.72.wav,344_283_23540.66_23542.12.wav,1
196,196_272_40160.87_40161.77.wav,196_272_40343.39_40344.37.wav,3
54,54_183_29980.05_29981.22.wav,54_183_29981.22_29981.84.wav,3
274,274_81_28252.09_28255.99.wav,274_81_28262.4_28263.21.wav,2
437,437_548_11555.59_11556.51.wav,437_548_11571.22_11571.86.wav,1
196,196_272_26465.81_26467.84.wav,196_272_26487.31_26488.wav,3
196,196_272_21290.89_21294.02.wav,196_272_21294.82_21295.89.wav,1
437,437_548_31071.38_31071.98.wav,437_548_31104.66_31105.26.wav,1
274,274_81_28699.96_28700.61.wav,274_81_28704.32_28706.44.wav,3
274,274_81_24.38_25.94.wav,274_81_29.53_30.13.wav,1
857,857_91_48445.71_48450.97.wav,857_91_48493.84_48494.54.wav,2
196,196_272_22600.23_22600.95.wav,196_272_22602.09_22602.93.wav,2
54,54_183_30558.44_30570.65.wav,54_183_30570.65_30571.45.wav,2
300,300_187_6714.12_6718.04.wav,300_187_6721.98_6723.71.wav,2
344,344_283_18907.04_18907.64.wav,344_283_18967.01_18967.75.wav,2
857,857_91_28267.42_28277.3.wav,857_91_28384.88_28386.23.wav,1
54,54_183_30697.67_30700.76.wav,54_183_30704.03_30704.98.wav,1
833,833_551_6582.24_6582.86.wav,833_551_6969.32_6970.27.wav,2
857,857_91_34707.19_34708.38.wav,857_91_34716.51_34717.17.wav,1
857,857_91_37701.26_37702.66.wav,857_91_37731.34_37731.94.wav,2
54,54_183_30024.14_30026.11.wav,54_183_30026.11_30027.01.wav,2
196,196_272_16810.85_16811.94.wav,196_272_16825.2_16825.8.wav,3
274,274_81_35906.96_35908.33.wav,274_81_35913.24_35914.37.wav,3
340,340_91_18894.64_18895.25.wav,340_91_19358.86_19359.55.wav,3
300,300_187_3039.84_3042.62.wav,300_187_3052.11_3053.27.wav,2
54,54_183_17641.96_17644.06.wav,54_183_17645.8_17646.41.wav,2
204,204_189_37008.08_37009.16.wav,204_189_37021.8_37022.43.wav,3
833,833_551_10035.4_10036.15.wav,833_551_10090.27_10091.07.wav,3
274,274_81_3438.75_3439.35.wav,274_81_3825.12_3825.72.wav,3
340,340_91_13973.46_13976.81.wav,340_91_13978.14_13979.9.wav,1
274,274_81_28335.15_28336.35.wav,274_81_28337.16_28338.65.wav,1
54,54_183_9434.11_9436.6.wav,54_183_9447.91_9450.9.wav,1
196,196_272_36052.13_36056.77.wav,196_272_36056.77_36057.66.wav,1
274,274_81_24302.23_24303.15.wav,274_81_26602.8_26603.4.wav,1
