"","jvfs_1_targetChildProminence","kfav_1_targetChildProminence","lant_2_targetChildProminence","szch_2_targetChildProminence","modal_prominence","clean"
"1",1,2,2,2,2,FALSE
"2",2,1,2,1,1,TRUE
"3",1,2,2,1,1,TRUE
"4",1,2,2,1,1,TRUE
"5",1,2,2,1,1,TRUE
"6",1,1,1,1,1,TRUE
"7",1,2,2,1,1,TRUE
"8",1,1,2,1,1,TRUE
"9",1,2,2,1,1,TRUE
"10",1,1,1,1,1,TRUE
"11",2,2,2,1,2,FALSE
"12",1,1,2,1,1,TRUE
"13",2,2,2,1,2,FALSE
"14",1,2,2,2,2,FALSE
"15",1,2,2,1,1,TRUE
"16",1,1,2,1,1,TRUE
"17",1,1,2,1,1,TRUE
"18",1,2,2,2,2,FALSE
"19",1,1,1,1,1,TRUE
"20",1,1,1,1,1,TRUE
"21",1,1,1,1,1,TRUE
"22",2,2,2,1,2,FALSE
"23",1,1,2,1,1,TRUE
"24",1,2,2,1,1,TRUE
"25",1,1,1,1,1,TRUE
"26",1,1,1,1,1,TRUE
"27",2,2,1,1,1,TRUE
"28",1,1,1,1,1,TRUE
"29",1,1,2,2,1,TRUE
"30",1,1,1,1,1,TRUE
"31",1,1,1,1,1,TRUE
"32",1,1,1,1,1,TRUE
"33",1,1,1,1,1,TRUE
"34",1,1,2,1,1,TRUE
"35",1,2,2,2,2,FALSE
"36",1,1,1,1,1,TRUE
"37",2,2,2,2,2,FALSE
"38",2,2,2,2,2,FALSE
"39",1,1,1,1,1,TRUE
"40",2,2,1,1,1,TRUE
"41",1,1,1,1,1,TRUE
"42",1,1,1,1,1,TRUE
"43",1,1,1,1,1,TRUE
"44",1,1,1,1,1,TRUE
"45",1,1,1,1,1,TRUE
"46",1,1,2,1,1,TRUE
"47",1,1,2,1,1,TRUE
"48",1,1,1,1,1,TRUE
"49",1,1,1,1,1,TRUE
"50",4,4,4,4,4,FALSE
"51",4,4,4,1,4,FALSE
"52",1,1,1,1,1,TRUE
"53",1,1,1,1,1,TRUE
"54",2,2,2,1,2,FALSE
"55",1,1,1,1,1,TRUE
"56",1,1,1,1,1,TRUE
"57",1,1,1,1,1,TRUE
"58",1,1,1,1,1,TRUE
"59",1,1,1,1,1,TRUE
"60",1,1,2,1,1,TRUE
"61",2,2,2,2,2,FALSE
"62",1,1,1,1,1,TRUE
"63",1,1,2,1,1,TRUE
"64",2,2,2,2,2,FALSE
"65",1,2,2,2,2,FALSE
"66",1,1,1,1,1,TRUE
"67",2,2,2,2,2,FALSE
"68",2,2,2,2,2,FALSE
"69",2,2,2,2,2,FALSE
"70",2,2,3,2,2,FALSE
"71",2,2,2,2,2,FALSE
"72",2,2,2,2,2,FALSE
"73",1,2,2,2,2,FALSE
"74",1,1,2,1,1,TRUE
"75",4,5,5,5,5,FALSE
"76",4,5,5,5,5,FALSE
"77",1,1,2,1,1,TRUE
"78",2,2,2,2,2,FALSE
"79",1,1,2,1,1,TRUE
"80",2,3,1,1,1,TRUE
"81",2,2,2,2,2,FALSE
"82",2,1,2,1,1,TRUE
"83",2,1,2,1,1,TRUE
"84",2,1,2,2,2,FALSE
"85",1,1,1,1,1,TRUE
"86",1,1,1,1,1,TRUE
"87",2,2,2,2,2,FALSE
"88",1,1,1,1,1,TRUE
"89",1,1,1,1,1,TRUE
"90",1,1,1,1,1,TRUE
"91",1,1,1,1,1,TRUE
"92",1,1,2,1,1,TRUE
"93",2,1,2,1,1,TRUE
"94",5,5,5,5,5,FALSE
"95",1,1,2,1,1,TRUE
"96",2,2,2,2,2,FALSE
"97",1,1,2,1,1,TRUE
"98",1,1,2,1,1,TRUE
"99",2,2,3,2,2,FALSE
"100",2,2,2,2,2,FALSE
"101",4,2,4,2,2,FALSE
"102",3,2,2,2,2,FALSE
"103",2,2,2,2,2,FALSE
"104",2,2,2,2,2,FALSE
"105",2,2,2,2,2,FALSE
"106",2,2,2,2,2,FALSE
"107",3,2,2,2,2,FALSE
"108",2,2,2,2,2,FALSE
"109",1,1,2,1,1,TRUE
"110",2,2,2,2,2,FALSE
"111",2,1,2,2,2,FALSE
"112",2,2,2,2,2,FALSE
"113",2,2,2,2,2,FALSE
"114",2,2,2,2,2,FALSE
"115",2,2,2,2,2,FALSE
"116",2,2,2,2,2,FALSE
"117",2,2,2,2,2,FALSE
"118",3,2,2,2,2,FALSE
"119",3,2,3,2,2,FALSE
"120",2,2,3,2,2,FALSE
"121",3,3,3,3,3,FALSE
"122",2,3,3,2,2,FALSE
"123",2,1,2,2,2,FALSE
"124",2,2,2,2,2,FALSE
"125",2,2,2,2,2,FALSE
"126",2,2,2,1,2,FALSE
"127",1,1,2,1,1,TRUE
"128",3,2,2,1,2,FALSE
"129",3,3,3,2,3,FALSE
"130",1,1,2,1,1,TRUE
"131",2,1,2,2,2,FALSE
"132",2,2,2,2,2,FALSE
"133",2,2,2,2,2,FALSE
"134",2,2,2,2,2,FALSE
"135",2,2,2,2,2,FALSE
"136",2,5,5,2,2,FALSE
"137",2,5,5,5,5,FALSE
"138",3,5,5,5,5,FALSE
"139",2,5,5,5,5,FALSE
"140",2,5,5,5,5,FALSE
"141",2,4,2,5,2,FALSE
