"","jvfs_1_targetChildProminence","lant_2_targetChildProminence","szch_2_targetChildProminence","modal_prominence","clean"
"1",2,2,2,2,FALSE
"2",2,3,2,2,FALSE
"3",3,3,2,3,FALSE
"4",3,2,1,1,TRUE
"5",1,1,1,1,TRUE
"6",2,3,2,2,FALSE
"7",3,3,2,3,FALSE
"8",2,2,1,2,FALSE
"9",2,3,2,2,FALSE
"10",1,2,1,1,TRUE
"11",2,3,2,2,FALSE
"12",3,4,4,4,FALSE
"13",3,2,2,2,FALSE
"14",3,2,1,1,TRUE
"15",2,2,1,2,FALSE
"16",5,4,4,4,FALSE
"17",5,5,5,5,FALSE
"18",5,5,5,5,FALSE
"19",1,5,5,5,FALSE
"20",5,5,5,5,FALSE
"21",5,5,5,5,FALSE
"22",4,4,4,4,FALSE
"23",2,3,3,3,FALSE
"24",5,5,5,5,FALSE
"25",4,3,3,3,FALSE
"26",5,5,5,5,FALSE
"27",5,5,5,5,FALSE
"28",2,2,1,2,FALSE
"29",5,5,5,5,FALSE
"30",5,5,5,5,FALSE
"31",5,5,5,5,FALSE
"32",2,3,2,2,FALSE
"33",2,2,4,2,FALSE
"34",2,3,3,3,FALSE
"35",5,5,5,5,FALSE
"36",5,5,5,5,FALSE
"37",3,3,2,3,FALSE
"38",5,5,5,5,FALSE
"39",5,5,5,5,FALSE
"40",4,3,3,3,FALSE
"41",4,5,5,5,FALSE
"42",5,5,5,5,FALSE
"43",2,3,2,2,FALSE
"44",3,3,3,3,FALSE
"45",3,3,3,3,FALSE
"46",2,2,1,2,FALSE
"47",2,2,2,2,FALSE
"48",3,3,4,3,FALSE
"49",2,2,5,2,FALSE
"50",5,5,5,5,FALSE
"51",2,3,2,2,FALSE
"52",2,2,2,2,FALSE
"53",2,3,2,2,FALSE
"54",1,2,1,1,TRUE
"55",1,2,1,1,TRUE
"56",1,2,1,1,TRUE
"57",1,2,1,1,TRUE
"58",5,5,5,5,FALSE
"59",5,5,5,5,FALSE
"60",5,5,5,5,FALSE
"61",2,3,2,2,FALSE
"62",5,5,5,5,FALSE
"63",5,4,5,5,FALSE
"64",5,4,5,5,FALSE
"65",5,5,5,5,FALSE
"66",2,2,1,2,FALSE
"67",2,2,2,2,FALSE
"68",1,2,1,1,TRUE
"69",1,2,1,1,TRUE
"70",1,2,1,1,TRUE
"71",2,2,1,2,FALSE
"72",5,4,5,5,FALSE
"73",1,2,1,1,TRUE
"74",5,2,1,1,TRUE
"75",2,2,1,2,FALSE
"76",2,3,2,2,FALSE
"77",1,1,1,1,TRUE
"78",2,3,2,2,FALSE
"79",2,2,2,2,FALSE
"80",1,2,1,1,TRUE
"81",2,2,2,2,FALSE
"82",2,2,2,2,FALSE
"83",1,1,1,1,TRUE
"84",2,2,2,2,FALSE
"85",2,2,2,2,FALSE
"86",1,1,1,1,TRUE
"87",1,1,1,1,TRUE
"88",1,1,1,1,TRUE
"89",1,2,1,1,TRUE
"90",1,1,1,1,TRUE
"91",2,2,2,2,FALSE
"92",2,2,1,2,FALSE
"93",1,2,1,1,TRUE
"94",2,2,2,2,FALSE
"95",1,2,1,1,TRUE
"96",1,2,1,1,TRUE
"97",1,2,1,1,TRUE
"98",2,2,1,2,FALSE
"99",2,2,1,2,FALSE
"100",1,1,1,1,TRUE
"101",1,2,1,1,TRUE
"102",2,2,2,2,FALSE
"103",2,2,2,2,FALSE
"104",2,2,2,2,FALSE
"105",2,2,1,2,FALSE
"106",2,2,1,2,FALSE
"107",2,2,1,2,FALSE
"108",2,2,2,2,FALSE
"109",2,3,2,2,FALSE
"110",1,2,1,1,TRUE
"111",2,3,2,2,FALSE
"112",2,2,2,2,FALSE
"113",1,1,1,1,TRUE
"114",2,2,2,2,FALSE
"115",2,3,1,1,TRUE
"116",3,3,1,3,FALSE
"117",1,1,1,1,TRUE
"118",2,2,1,2,FALSE
"119",2,2,1,2,FALSE
"120",2,2,2,2,FALSE
"121",1,2,1,1,TRUE
"122",2,2,1,2,FALSE
"123",1,2,1,1,TRUE
"124",1,2,1,1,TRUE
"125",1,2,1,1,TRUE
"126",2,2,1,2,FALSE
"127",1,2,1,1,TRUE
"128",1,2,1,1,TRUE
"129",1,2,2,2,FALSE
"130",1,2,1,1,TRUE
"131",1,2,1,1,TRUE
"132",2,3,2,2,FALSE
"133",1,2,1,1,TRUE
"134",2,2,1,2,FALSE
"135",1,2,1,1,TRUE
"136",1,2,2,2,FALSE
"137",2,2,2,2,FALSE
"138",2,2,2,2,FALSE
"139",1,1,1,1,TRUE
"140",2,2,2,2,FALSE
"141",2,2,1,2,FALSE
"142",2,2,1,2,FALSE
"143",2,2,2,2,FALSE
"144",3,2,1,1,TRUE
"145",2,2,1,2,FALSE
"146",2,2,2,2,FALSE
"147",1,2,2,2,FALSE
"148",2,2,2,2,FALSE
"149",1,3,1,1,TRUE
"150",2,2,1,2,FALSE
"151",2,2,1,2,FALSE
"152",2,2,1,2,FALSE
"153",1,2,1,1,TRUE
"154",1,2,1,1,TRUE
"155",1,2,1,1,TRUE
"156",2,2,1,2,FALSE
"157",2,2,1,2,FALSE
"158",1,2,1,1,TRUE
"159",1,2,1,1,TRUE
"160",1,2,1,1,TRUE
"161",2,2,1,2,FALSE
"162",1,2,1,1,TRUE
"163",2,4,2,2,FALSE
"164",1,1,1,1,TRUE
"165",1,2,2,2,FALSE
"166",2,2,1,2,FALSE
"167",2,3,2,2,FALSE
"168",2,2,2,2,FALSE
"169",1,2,1,1,TRUE
"170",2,2,1,2,FALSE
"171",2,2,2,2,FALSE
"172",1,2,2,2,FALSE
"173",5,4,5,5,FALSE
"174",5,5,5,5,FALSE
"175",1,2,1,1,TRUE
"176",2,2,1,2,FALSE
"177",4,4,3,4,FALSE
"178",1,2,1,1,TRUE
"179",2,2,2,2,FALSE
"180",1,2,1,1,TRUE
"181",1,2,1,1,TRUE
"182",2,2,1,2,FALSE
"183",5,2,2,2,FALSE
"184",2,2,2,2,FALSE
"185",2,2,1,2,FALSE
"186",2,2,2,2,FALSE
"187",2,2,2,2,FALSE
"188",2,2,2,2,FALSE
"189",2,2,2,2,FALSE
"190",3,2,2,2,FALSE
"191",3,2,2,2,FALSE
"192",2,3,1,1,TRUE
"193",2,2,2,2,FALSE
"194",2,2,1,2,FALSE
"195",2,2,1,2,FALSE
"196",2,2,1,2,FALSE
"197",2,2,2,2,FALSE
"198",2,2,1,2,FALSE
"199",2,3,2,2,FALSE
"200",2,2,2,2,FALSE
"201",2,2,2,2,FALSE
"202",4,4,2,4,FALSE
"203",2,2,2,2,FALSE
"204",2,2,2,2,FALSE
"205",1,2,1,1,TRUE
"206",3,4,3,3,FALSE
"207",2,2,1,2,FALSE
"208",2,2,2,2,FALSE
"209",5,5,5,5,FALSE
"210",3,3,2,3,FALSE
"211",2,2,2,2,FALSE
"212",2,2,1,2,FALSE
"213",2,2,1,2,FALSE
"214",2,2,1,2,FALSE
"215",2,2,1,2,FALSE
"216",3,3,1,3,FALSE
"217",2,2,1,2,FALSE
"218",1,2,1,1,TRUE
"219",2,2,2,2,FALSE
"220",2,2,1,2,FALSE
"221",2,2,1,2,FALSE
"222",2,2,2,2,FALSE
"223",2,2,1,2,FALSE
"224",2,2,2,2,FALSE
"225",2,2,2,2,FALSE
"226",2,3,2,2,FALSE
"227",2,2,2,2,FALSE
"228",2,2,2,2,FALSE
"229",3,2,1,1,TRUE
"230",5,5,5,5,FALSE
"231",3,2,2,2,FALSE
"232",2,2,2,2,FALSE
"233",2,2,1,2,FALSE
"234",2,3,2,2,FALSE
"235",2,2,2,2,FALSE
