"","jvfs_1_targetChildProminence","kfav_1_targetChildProminence","lant_2_targetChildProminence","szch_1_targetChildProminence","modal_prominence","clean","recording","startSecond","endSecond"
"1",1,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",29.49,30.51
"2",1,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",36.18,37.06
"3",1,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",38.36,38.99
"4",2,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",39.79,40.39
"5",3,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",51.23,51.95
"6",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",54.04,55.74
"7",2,1,2,2,2,FALSE,"0054_000603_scrubbed.wav",56.54,57.46
"8",3,1,2,2,2,FALSE,"0054_000603_scrubbed.wav",59.75,60.35
"9",1,1,1,1,1,TRUE,"0054_000603_scrubbed.wav",74.55,76.18
"10",4,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",90.19,91.05
"11",2,1,1,1,1,TRUE,"0054_000603_scrubbed.wav",92.39,93.04
"12",2,1,2,2,2,FALSE,"0054_000603_scrubbed.wav",95.92,97.43
"13",1,1,1,1,1,TRUE,"0054_000603_scrubbed.wav",100.73,101.53
"14",1,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",104.52,105.12
"15",1,1,1,1,1,TRUE,"0054_000603_scrubbed.wav",126.9,127.83
"16",2,1,2,2,2,FALSE,"0054_000603_scrubbed.wav",557.48,558.09
"17",2,2,3,2,2,FALSE,"0054_000603_scrubbed.wav",792.67,793.51
"18",2,2,3,2,2,FALSE,"0054_000603_scrubbed.wav",796.52,797.29
"19",1,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",800.94,801.54
"20",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",807.16,807.81
"21",3,2,3,2,2,FALSE,"0054_000603_scrubbed.wav",823.21,823.81
"22",4,4,5,5,4,FALSE,"0054_000603_scrubbed.wav",824.61,825.61
"23",2,1,2,5,2,FALSE,"0054_000603_scrubbed.wav",845.48,846.32
"24",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",1127.69,1128.62
"25",2,1,2,2,2,FALSE,"0054_000603_scrubbed.wav",1131.53,1132.2
"26",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",1146.89,1147.49
"27",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",1148.29,1148.89
"28",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",1154.94,1155.72
"29",2,2,3,2,2,FALSE,"0054_000603_scrubbed.wav",1157.02,1158.39
"30",4,4,4,4,4,FALSE,"0054_000603_scrubbed.wav",1158.39,1159.05
"31",1,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",1314.53,1315.16
"32",1,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",1319.2,1319.82
"33",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",1328.75,1329.72
"34",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",1339.41,1341.06
"35",3,2,3,2,2,FALSE,"0054_000603_scrubbed.wav",1343.76,1344.76
"36",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",1404.05,1404.65
"37",1,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",1437.44,1438.35
"38",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",1440.1,1440.74
"39",1,1,2,2,1,TRUE,"0054_000603_scrubbed.wav",1442.47,1443.08
