"","recording","startSeconds","endSeconds","blky_1_targetChildProminence","cvai_1_targetChildProminence","eoce_1_targetChildProminence","jkwa_1_targetChildProminence","jvfs_1_targetChildProminence","kfav_1_targetChildProminence","lant_2_targetChildProminence","lskw_1_targetChildProminence","mrkf_1_targetChildProminence","pdav_1_targetChildProminence","qoth_2_targetChildProminence","szch_2_targetChildProminence","vgvn_1_targetChildProminence","xgju_1_targetChildProminence","yzxn_2_targetChildProminence","ztcp_1_targetChildProminence","modal_prominence","clean"
"1","0196_000902_scrubbed.wav",72.28,73.47,1,2,5,1,1,1,1,1,1,2,2,1,1,1,1,1,1,TRUE
"2","0196_000902_scrubbed.wav",91.51,92.56,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,TRUE
"3","0196_000902_scrubbed.wav",200.43,201.08,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,3,FALSE
"4","0196_000902_scrubbed.wav",365.95,367.01,2,3,1,3,2,2,2,2,1,2,2,2,2,2,2,2,2,FALSE
"5","0196_000902_scrubbed.wav",371.88,372.48,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,TRUE
"6","0196_000902_scrubbed.wav",382.05,382.65,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,TRUE
"7","0196_000902_scrubbed.wav",386.68,387.28,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,TRUE
"8","0196_000902_scrubbed.wav",392.58,393.77,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,TRUE
"9","0196_000902_scrubbed.wav",397.91,398.9,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,2,1,TRUE
"10","0196_000902_scrubbed.wav",427.06,428.99,1,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,FALSE
"11","0196_000902_scrubbed.wav",475.21,476.12,1,2,2,1,1,1,2,2,1,2,2,1,1,5,1,2,1,TRUE
"12","0196_000902_scrubbed.wav",586.02,586.62,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,TRUE
"13","0196_000902_scrubbed.wav",710.34,710.95,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,TRUE
"14","0196_000902_scrubbed.wav",879.37,879.98,5,5,2,1,5,5,5,5,5,2,2,5,1,5,1,5,3,FALSE
"15","0196_000902_scrubbed.wav",882.21,882.87,1,2,2,1,1,1,1,1,1,2,2,1,1,5,1,1,1,TRUE
"16","0196_000902_scrubbed.wav",970.7,971.57,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,TRUE
"17","0196_000902_scrubbed.wav",1093.93,1094.53,1,1,2,1,2,1,1,2,1,2,2,1,1,1,1,1,1,TRUE
"18","0196_000902_scrubbed.wav",1327.61,1328.66,5,2,5,3,5,5,5,5,5,5,2,2,5,5,5,5,4,FALSE
"19","0196_000902_scrubbed.wav",1358.95,1359.8,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,TRUE
"20","0196_000902_scrubbed.wav",1615.62,1616.22,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,TRUE
"21","0196_000902_scrubbed.wav",1637.15,1637.75,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,TRUE
"22","0196_000902_scrubbed.wav",1675.97,1676.74,1,2,1,1,2,2,2,2,1,2,2,2,1,2,2,2,2,FALSE
"23","0196_000902_scrubbed.wav",1954.64,1955.32,1,2,2,1,2,1,1,2,1,3,2,1,2,1,1,2,1,TRUE
