"","recording","startSeconds","endSeconds","blky_1_targetChildProminence","cvai_1_targetChildProminence","eoce_1_targetChildProminence","jkwa_1_targetChildProminence","jvfs_1_targetChildProminence","kfav_1_targetChildProminence","lant_2_targetChildProminence","lplf_1_targetChildProminence","lskw_1_targetChildProminence","mrkf_1_targetChildProminence","pdav_1_targetChildProminence","pwwr_1_targetChildProminence","qoth_2_targetChildProminence","szch_2_targetChildProminence","vgvn_1_targetChildProminence","xgju_1_targetChildProminence","yzxn_2_targetChildProminence","modal_prominence","clean"
"1","0204_000609_scrubbed.wav",36.8,37.89,1,1,2,2,1,2,2,2,2,1,5,2,2,1,1,1,1,1,TRUE
"2","0204_000609_scrubbed.wav",38.89,39.77,1,1,2,1,1,1,2,2,2,1,2,2,2,1,1,1,1,1,TRUE
"3","0204_000609_scrubbed.wav",66.34,66.95,1,2,2,3,2,3,3,3,2,2,2,2,2,2,1,2,2,2,FALSE
"4","0204_000609_scrubbed.wav",67.75,68.35,1,1,2,1,1,1,2,2,2,1,2,2,2,1,1,1,1,1,TRUE
"5","0204_000609_scrubbed.wav",88.5,89.3,1,1,2,2,1,1,2,2,2,1,2,2,2,1,2,1,2,2,FALSE
"6","0204_000609_scrubbed.wav",90.1,90.78,1,1,2,2,1,1,2,2,2,1,1,2,2,1,1,1,1,1,TRUE
"7","0204_000609_scrubbed.wav",92.62,93.82,1,1,1,1,1,1,2,1,2,1,1,2,2,1,1,1,1,1,TRUE
"8","0204_000609_scrubbed.wav",99.36,99.96,2,2,2,4,2,2,2,3,2,2,2,2,2,2,2,2,3,2,FALSE
"9","0204_000609_scrubbed.wav",118.56,119.16,1,2,2,4,2,2,4,2,2,1,5,5,2,1,2,1,2,2,FALSE
"10","0204_000609_scrubbed.wav",146.51,147.82,1,2,1,2,1,1,2,2,2,1,2,2,2,1,2,1,1,1,TRUE
"11","0204_000609_scrubbed.wav",152.71,153.31,1,1,1,3,1,1,2,2,2,1,2,2,2,1,1,1,1,1,TRUE
"12","0204_000609_scrubbed.wav",155.16,155.85,1,2,1,1,1,2,2,2,2,1,2,2,2,1,1,2,1,1,TRUE
"13","0204_000609_scrubbed.wav",281.23,282.01,2,2,2,4,2,3,3,3,2,2,3,4,2,2,3,3,3,2,FALSE
"14","0204_000609_scrubbed.wav",318.46,319.06,5,2,2,5,5,5,5,5,2,5,5,5,2,5,5,1,5,5,FALSE
"15","0204_000609_scrubbed.wav",398.86,399.48,1,1,2,1,1,1,2,2,2,1,3,2,2,1,1,1,1,1,TRUE
"16","0204_000609_scrubbed.wav",401.52,402.12,1,1,5,5,5,5,5,5,2,5,5,5,5,5,5,1,5,5,FALSE
"17","0204_000609_scrubbed.wav",412.99,414.26,5,2,2,5,5,1,5,2,5,5,5,5,2,5,1,1,1,5,FALSE
"18","0204_000609_scrubbed.wav",449.2,450.14,1,2,2,3,2,4,3,3,2,3,4,4,3,2,2,1,2,2,FALSE
"19","0204_000609_scrubbed.wav",457.62,459.24,1,3,2,3,2,3,2,2,2,2,3,2,2,2,1,3,2,2,FALSE
"20","0204_000609_scrubbed.wav",466.21,467,1,1,2,3,1,1,2,1,2,1,3,4,2,1,1,1,1,1,TRUE
"21","0204_000609_scrubbed.wav",469.01,472.3,1,1,2,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,TRUE
"22","0204_000609_scrubbed.wav",492.16,493.24,1,2,2,3,2,1,2,2,2,2,2,2,2,2,1,3,2,2,FALSE
"23","0204_000609_scrubbed.wav",495.86,497.18,1,2,2,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2,FALSE
"24","0204_000609_scrubbed.wav",500.33,503.68,1,1,1,2,1,2,2,2,2,1,1,2,2,1,1,1,1,1,TRUE
"25","0204_000609_scrubbed.wav",514.22,514.82,5,5,2,4,5,5,5,5,5,5,3,5,5,5,2,5,5,5,FALSE
"26","0204_000609_scrubbed.wav",530.98,531.98,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,FALSE
"27","0204_000609_scrubbed.wav",537.91,539.75,5,1,1,1,1,1,2,1,2,1,2,2,1,1,1,1,1,1,TRUE
"28","0204_000609_scrubbed.wav",540.9,541.54,5,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,TRUE
"29","0204_000609_scrubbed.wav",542.4,543,1,2,2,4,2,3,2,2,2,1,3,2,2,2,2,2,5,2,FALSE
"30","0204_000609_scrubbed.wav",546.46,547.09,1,3,2,3,3,4,3,2,2,5,4,2,3,3,1,4,3,3,FALSE
"31","0204_000609_scrubbed.wav",558.24,559.22,1,2,2,3,1,2,2,2,2,1,3,2,2,1,2,1,2,2,FALSE
"32","0204_000609_scrubbed.wav",574.27,574.92,1,2,2,3,1,3,3,2,2,1,3,2,2,2,3,1,3,2,FALSE
"33","0204_000609_scrubbed.wav",586.95,589,1,1,1,3,1,2,2,2,2,1,2,2,2,1,1,1,1,1,TRUE
"34","0204_000609_scrubbed.wav",796.5,798.51,1,1,2,1,1,2,2,2,2,1,1,2,2,1,1,1,1,1,TRUE
"35","0204_000609_scrubbed.wav",799.35,803.3,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,TRUE
"36","0204_000609_scrubbed.wav",816.93,821.64,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,FALSE
"37","0204_000609_scrubbed.wav",822.45,823.87,1,2,2,2,1,1,2,2,2,1,1,2,1,1,2,1,1,1,TRUE
"38","0204_000609_scrubbed.wav",825.85,826.88,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,FALSE
"39","0204_000609_scrubbed.wav",833.57,835.21,1,1,2,1,1,1,2,2,2,1,1,2,2,1,1,1,1,1,TRUE
"40","0204_000609_scrubbed.wav",836.01,844.14,1,1,2,2,1,2,2,2,2,1,1,2,2,1,2,1,2,2,FALSE
"41","0204_000609_scrubbed.wav",845.98,846.61,1,1,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,TRUE
"42","0204_000609_scrubbed.wav",847.55,849.3,1,2,2,1,1,1,2,2,2,1,2,2,1,1,2,1,1,1,TRUE
"43","0204_000609_scrubbed.wav",853.21,856.19,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,FALSE
"44","0204_000609_scrubbed.wav",857,859.2,1,1,1,1,1,1,2,2,2,1,1,2,1,1,1,1,1,1,TRUE
"45","0204_000609_scrubbed.wav",860.12,861.71,1,1,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,FALSE
"46","0204_000609_scrubbed.wav",862.67,865.15,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,FALSE
"47","0204_000609_scrubbed.wav",888.26,888.93,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,FALSE
"48","0204_000609_scrubbed.wav",904.51,905.19,1,2,1,2,1,2,2,2,2,1,2,2,2,2,2,1,1,2,FALSE
"49","0204_000609_scrubbed.wav",908.38,910.66,1,2,1,1,1,1,2,2,2,2,1,2,2,1,2,1,1,1,TRUE
"50","0204_000609_scrubbed.wav",914.72,915.72,2,2,3,4,3,3,3,3,3,3,3,4,2,3,4,4,4,3,FALSE
"51","0204_000609_scrubbed.wav",916.52,922.97,1,2,2,3,1,1,2,1,2,2,3,2,2,1,1,1,1,1,TRUE
"52","0204_000609_scrubbed.wav",923.77,925.41,1,2,1,3,1,2,2,2,2,2,3,2,2,1,2,1,1,2,FALSE
"53","0204_000609_scrubbed.wav",926.21,927.82,1,2,2,1,1,1,2,2,2,1,3,2,2,1,1,1,1,1,TRUE
"54","0204_000609_scrubbed.wav",928.62,930.44,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,FALSE
"55","0204_000609_scrubbed.wav",931.55,933.58,1,2,2,1,1,2,2,1,2,1,2,2,2,1,1,1,1,1,TRUE
"56","0204_000609_scrubbed.wav",934.79,938.3,2,2,2,3,1,2,2,2,2,1,2,3,2,2,2,1,2,2,FALSE
