"","recording","startSeconds","endSeconds","blky_1_targetChildProminence","cvai_1_targetChildProminence","eoce_1_targetChildProminence","jkwa_1_targetChildProminence","jvfs_1_targetChildProminence","kfav_1_targetChildProminence","lant_2_targetChildProminence","lskw_1_targetChildProminence","pdav_1_targetChildProminence","pwwr_1_targetChildProminence","qoth_2_targetChildProminence","szch_2_targetChildProminence","vgvn_1_targetChildProminence","xgju_1_targetChildProminence","yzxn_2_targetChildProminence","ztcp_1_targetChildProminence","modal_prominence","clean"
"1","0274_000221_scrubbed.wav",24.38,25.94,1,1,2,1,1,2,2,2,2,2,2,1,1,1,1,2,1,TRUE
"2","0274_000221_scrubbed.wav",29.53,30.13,1,1,2,2,1,1,1,1,3,2,1,1,1,1,1,1,1,TRUE
"3","0274_000221_scrubbed.wav",42.74,43.34,1,2,2,5,2,2,2,2,2,3,2,2,2,1,2,4,2,FALSE
"4","0274_000221_scrubbed.wav",44.29,44.9,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,FALSE
"5","0274_000221_scrubbed.wav",60.6,61.2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,FALSE
"6","0274_000221_scrubbed.wav",62,62.77,1,1,2,1,1,1,2,2,2,2,2,1,1,1,1,1,1,TRUE
"7","0274_000221_scrubbed.wav",66.92,67.52,1,1,2,2,2,1,1,1,2,3,2,1,1,1,1,1,1,TRUE
"8","0274_000221_scrubbed.wav",69.85,70.45,1,1,2,1,2,1,1,1,2,2,2,1,1,1,1,1,1,TRUE
"9","0274_000221_scrubbed.wav",92.72,93.48,1,2,2,2,1,2,2,1,2,2,2,1,1,1,1,2,1,TRUE
"10","0274_000221_scrubbed.wav",97.25,97.85,2,1,3,3,1,1,1,1,2,2,2,1,2,1,1,2,1,TRUE
"11","0274_000221_scrubbed.wav",99.91,101.25,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,FALSE
"12","0274_000221_scrubbed.wav",107.03,107.83,1,2,2,3,2,2,2,2,2,2,2,2,2,1,2,2,2,FALSE
"13","0274_000221_scrubbed.wav",110.01,110.62,1,5,2,5,2,2,2,2,2,3,2,2,2,1,2,3,2,FALSE
"14","0274_000221_scrubbed.wav",116.87,117.47,1,3,2,4,1,1,1,3,2,3,2,1,1,2,1,2,1,TRUE
"15","0274_000221_scrubbed.wav",118.98,119.9,1,2,1,2,1,1,2,2,2,2,1,1,1,1,2,1,1,TRUE
"16","0274_000221_scrubbed.wav",125.78,126.4,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,TRUE
"17","0274_000221_scrubbed.wav",131.84,132.59,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,TRUE
"18","0274_000221_scrubbed.wav",136.9,137.55,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,TRUE
"19","0274_000221_scrubbed.wav",138.35,138.99,1,1,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,TRUE
"20","0274_000221_scrubbed.wav",140.07,140.75,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,TRUE
"21","0274_000221_scrubbed.wav",145.43,146.05,1,2,1,2,1,2,2,2,2,2,1,1,2,1,2,2,2,FALSE
