"","recording","startSeconds","endSeconds","blky_1_targetChildProminence","cvai_1_targetChildProminence","eoce_1_targetChildProminence","jkwa_1_targetChildProminence","jvfs_1_targetChildProminence","kfav_1_targetChildProminence","lant_2_targetChildProminence","lplf_1_targetChildProminence","lskw_1_targetChildProminence","pdav_1_targetChildProminence","pwwr_1_targetChildProminence","szch_2_targetChildProminence","vgvn_1_targetChildProminence","xgju_1_targetChildProminence","yzxn_2_targetChildProminence","ztcp_1_targetChildProminence","modal_prominence","clean"
"1","0340_000301_scrubbed.wav",36,37.29,1,2,2,2,1,2,2,2,2,5,2,2,1,1,2,2,2,FALSE
"2","0340_000301_scrubbed.wav",137.58,138.31,1,2,2,3,2,1,2,1,2,1,2,1,1,1,1,2,1,TRUE
"3","0340_000301_scrubbed.wav",143.77,145.16,1,2,2,2,1,2,2,2,1,2,2,1,1,1,2,2,2,FALSE
"4","0340_000301_scrubbed.wav",150.8,153.16,1,1,1,5,1,2,2,1,2,2,2,1,1,1,2,2,1,TRUE
"5","0340_000301_scrubbed.wav",160.08,160.77,1,1,1,3,1,2,2,1,2,1,2,1,1,1,1,2,1,TRUE
"6","0340_000301_scrubbed.wav",166.79,169.11,1,1,2,2,1,1,1,1,2,2,2,1,1,1,1,2,1,TRUE
"7","0340_000301_scrubbed.wav",171.92,172.52,1,1,2,4,1,2,2,2,2,1,2,1,1,1,1,2,1,TRUE
"8","0340_000301_scrubbed.wav",189.13,189.73,1,1,1,4,1,1,2,1,2,2,2,1,1,1,1,2,1,TRUE
"9","0340_000301_scrubbed.wav",193.9,194.66,1,1,1,4,1,2,2,1,2,1,2,1,1,1,1,2,1,TRUE
"10","0340_000301_scrubbed.wav",195.47,196.52,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,TRUE
"11","0340_000301_scrubbed.wav",198,198.8,1,1,1,3,2,2,2,2,2,2,2,1,1,1,2,2,2,FALSE
"12","0340_000301_scrubbed.wav",198.8,199.98,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,TRUE
"13","0340_000301_scrubbed.wav",202.66,203.26,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,FALSE
"14","0340_000301_scrubbed.wav",207.32,208.75,1,1,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,FALSE
"15","0340_000301_scrubbed.wav",232.1,232.91,1,1,1,5,1,2,2,1,2,2,2,1,1,1,1,2,1,TRUE
"16","0340_000301_scrubbed.wav",232.91,233.71,1,1,1,2,1,1,2,1,2,2,2,1,1,1,1,2,1,TRUE
"17","0340_000301_scrubbed.wav",330.99,331.67,1,1,1,4,1,1,2,1,2,2,2,1,1,1,1,2,1,TRUE
"18","0340_000301_scrubbed.wav",332.83,334.22,2,2,1,1,1,2,2,2,2,1,2,2,2,1,2,2,2,FALSE
"19","0340_000301_scrubbed.wav",338.68,339.45,1,1,2,5,1,1,1,1,2,2,2,1,1,1,1,2,1,TRUE
"20","0340_000301_scrubbed.wav",342.11,343.05,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,TRUE
"21","0340_000301_scrubbed.wav",343.05,343.83,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,TRUE
"22","0340_000301_scrubbed.wav",351.1,351.9,1,1,1,2,2,2,2,2,2,1,2,1,1,1,2,2,2,FALSE
"23","0340_000301_scrubbed.wav",351.9,353,1,1,1,2,1,1,2,1,2,1,2,1,1,1,1,2,1,TRUE
"24","0340_000301_scrubbed.wav",364.32,368.92,1,1,1,3,1,2,2,1,2,2,2,1,1,1,1,2,1,TRUE
"25","0340_000301_scrubbed.wav",370.01,372.31,1,1,1,2,1,1,1,1,2,2,2,1,1,1,1,2,1,TRUE
"26","0340_000301_scrubbed.wav",372.31,373.2,1,1,1,3,1,1,1,1,2,2,2,1,1,1,1,2,1,TRUE
"27","0340_000301_scrubbed.wav",375.63,376.61,1,1,1,2,2,2,1,2,2,3,2,1,1,1,1,2,1,TRUE
"28","0340_000301_scrubbed.wav",377.62,378.39,1,1,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,TRUE
"29","0340_000301_scrubbed.wav",380,380.9,1,2,2,3,1,1,2,2,2,3,2,2,1,1,1,1,2,FALSE
"30","0340_000301_scrubbed.wav",382.7,384.07,1,2,1,3,1,1,1,1,2,3,2,1,1,1,1,1,1,TRUE
"31","0340_000301_scrubbed.wav",385.27,386.32,1,2,1,3,1,1,1,1,2,2,2,1,1,1,1,1,1,TRUE
"32","0340_000301_scrubbed.wav",392.98,394.55,1,2,1,3,1,1,1,1,2,3,2,1,1,1,1,1,1,TRUE
"33","0340_000301_scrubbed.wav",403.43,405.28,1,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,TRUE
"34","0340_000301_scrubbed.wav",423.41,424.72,1,2,2,4,1,1,2,2,2,3,2,1,1,1,1,2,2,FALSE
"35","0340_000301_scrubbed.wav",428.18,430.77,2,1,2,3,1,2,2,2,1,2,2,2,2,1,2,2,2,FALSE
"36","0340_000301_scrubbed.wav",438.33,439.53,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,2,1,TRUE
"37","0340_000301_scrubbed.wav",455.67,457.54,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,2,2,FALSE
"38","0340_000301_scrubbed.wav",467.48,468.1,1,1,1,2,2,2,2,1,1,2,2,2,1,1,1,2,2,FALSE
"39","0340_000301_scrubbed.wav",472.82,473.57,1,1,1,3,1,1,1,1,1,1,2,1,1,1,1,2,1,TRUE
"40","0340_000301_scrubbed.wav",476.38,477.43,1,2,1,4,2,2,1,2,2,1,2,1,1,1,1,2,1,TRUE
"41","0340_000301_scrubbed.wav",477.43,478.48,1,1,1,3,1,1,1,1,1,2,2,1,1,1,1,1,1,TRUE
"42","0340_000301_scrubbed.wav",481.67,483.39,1,2,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,TRUE
"43","0340_000301_scrubbed.wav",486.8,488.39,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,TRUE
"44","0340_000301_scrubbed.wav",489.39,489.99,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,TRUE
"45","0340_000301_scrubbed.wav",491.82,492.57,1,2,1,2,1,1,1,2,1,2,2,1,1,1,1,1,1,TRUE
"46","0340_000301_scrubbed.wav",519.72,520.92,1,1,1,2,1,1,2,2,1,1,2,1,1,1,1,1,1,TRUE
"47","0340_000301_scrubbed.wav",523.35,524.09,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,TRUE
"48","0340_000301_scrubbed.wav",524.09,524.89,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,TRUE
"49","0340_000301_scrubbed.wav",524.89,525.6,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,TRUE
"50","0340_000301_scrubbed.wav",528.22,528.93,5,4,1,5,4,4,4,4,4,1,4,4,3,1,4,2,4,FALSE
"51","0340_000301_scrubbed.wav",541.95,542.56,1,4,1,5,4,4,4,2,4,2,2,1,1,1,2,4,4,FALSE
"52","0340_000301_scrubbed.wav",544.94,546.83,1,2,1,2,1,1,1,1,2,1,2,1,1,1,1,2,1,TRUE
"53","0340_000301_scrubbed.wav",547.9,548.5,1,1,2,2,1,1,1,1,2,2,2,1,1,1,1,1,1,TRUE
"54","0340_000301_scrubbed.wav",549.5,551.98,1,2,2,3,2,2,2,2,2,1,2,1,1,1,2,1,2,FALSE
"55","0340_000301_scrubbed.wav",557.78,558.76,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,TRUE
"56","0340_000301_scrubbed.wav",559.62,560.39,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,TRUE
"57","0340_000301_scrubbed.wav",562.39,564.39,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,TRUE
"58","0340_000301_scrubbed.wav",572.7,573.49,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,TRUE
"59","0340_000301_scrubbed.wav",575.29,577.34,1,1,1,3,1,1,1,1,1,2,2,1,1,1,1,1,1,TRUE
"60","0340_000301_scrubbed.wav",578.53,580.62,1,2,1,3,1,1,2,2,1,2,2,1,1,1,1,2,1,TRUE
"61","0340_000301_scrubbed.wav",581.55,582.61,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,FALSE
"62","0340_000301_scrubbed.wav",587.68,588.76,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,TRUE
"63","0340_000301_scrubbed.wav",590.25,592.22,1,2,1,3,1,1,2,2,1,2,2,1,1,1,1,2,1,TRUE
"64","0340_000301_scrubbed.wav",605.48,607.52,1,2,2,2,2,2,2,2,1,2,2,2,1,1,1,3,2,FALSE
