"","recording","startSeconds","endSeconds","cvai_1_targetChildProminence","eoce_1_targetChildProminence","jkwa_1_targetChildProminence","jvfs_2_targetChildProminence","lant_2_targetChildProminence","lskw_1_targetChildProminence","lyur_1_targetChildProminence","mrkf_1_targetChildProminence","pdav_1_targetChildProminence","pwwr_1_targetChildProminence","qoth_2_targetChildProminence","szch_2_targetChildProminence","vgvn_1_targetChildProminence","xgju_1_targetChildProminence","yzxn_2_targetChildProminence","ztcp_1_targetChildProminence","modal_prominence","clean"
"1","0344_000913.wav",42.32,42.92,5,5,2,5,5,5,5,5,2,5,5,5,5,5,5,5,2,FALSE
"2","0344_000913.wav",46.36,47.02,2,1,1,1,2,2,1,1,2,2,2,1,1,1,1,1,2,FALSE
"3","0344_000913.wav",2161.67,2162.48,3,3,3,1,3,2,2,1,3,3,2,2,2,1,2,3,3,FALSE
"4","0344_000913.wav",7309.84,7310.49,3,4,3,2,3,2,3,1,4,3,4,2,2,1,1,1,3,FALSE
"5","0344_000913.wav",7320.24,7320.89,2,1,2,1,2,1,1,1,3,2,2,1,1,1,1,1,2,FALSE
"6","0344_000913.wav",7353.09,7354.05,2,4,3,2,2,2,3,1,3,5,3,1,1,1,1,5,2,FALSE
"7","0344_000913.wav",7376.07,7378.26,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,FALSE
"8","0344_000913.wav",7423.08,7423.68,2,2,2,2,2,1,2,1,3,2,3,1,2,4,1,1,3,FALSE
"9","0344_000913.wav",7453.78,7454.47,2,1,2,1,1,2,2,1,2,3,2,1,1,1,1,1,2,FALSE
"10","0344_000913.wav",7565.91,7566.52,3,2,3,2,3,2,3,1,3,2,2,2,2,1,2,2,3,FALSE
"11","0344_000913.wav",7712.34,7712.94,4,1,3,5,5,5,4,1,3,5,5,5,5,1,5,5,6,FALSE
"12","0344_000913.wav",7722.25,7724.42,2,1,2,1,2,2,1,1,3,2,1,1,1,1,1,2,2,FALSE
"13","0344_000913.wav",8221.01,8221.79,4,3,1,1,4,2,3,5,5,3,2,1,1,2,1,1,2,FALSE
"14","0344_000913.wav",8268.67,8272.25,3,1,2,1,2,2,2,5,4,3,2,1,1,1,1,1,2,FALSE
"15","0344_000913.wav",8273.13,8275.63,2,1,1,1,1,2,1,1,3,2,2,1,1,1,1,1,2,FALSE
"16","0344_000913.wav",8303.57,8304.65,2,1,2,2,2,2,2,1,3,2,2,1,2,1,1,2,3,FALSE
"17","0344_000913.wav",8306.89,8307.49,3,4,5,3,4,2,3,1,4,5,2,3,4,4,5,5,5,FALSE
"18","0344_000913.wav",8315.98,8316.84,2,2,2,1,2,2,1,1,3,2,2,1,2,1,1,1,3,FALSE
"19","0344_000913.wav",8320.08,8320.68,2,3,2,2,2,2,2,1,3,2,2,2,2,1,1,2,3,FALSE
"20","0344_000913.wav",8341.09,8341.69,4,5,5,5,5,5,5,5,4,5,2,5,5,1,5,5,5,FALSE
"21","0344_000913.wav",8388.52,8389.13,2,2,2,2,3,2,2,1,2,2,2,2,2,1,1,5,3,FALSE
"22","0344_000913.wav",8392.2,8392.8,3,3,3,2,3,2,3,1,3,2,2,2,2,1,2,2,3,FALSE
"23","0344_000913.wav",8401.04,8401.64,3,2,5,3,5,2,2,1,3,5,2,2,3,2,2,2,3,FALSE
"24","0344_000913.wav",8402.96,8403.56,3,4,5,3,3,2,3,1,3,3,2,2,3,2,2,2,3,FALSE
"25","0344_000913.wav",8425.68,8427.05,4,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,FALSE
"26","0344_000913.wav",8428.61,8429.38,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,FALSE
"27","0344_000913.wav",8492.33,8493.46,4,4,5,4,4,4,4,5,5,5,4,4,4,4,4,5,3,FALSE
"28","0344_000913.wav",8616.27,8616.88,2,1,2,1,2,2,2,1,5,3,2,1,1,1,1,1,2,FALSE
"29","0344_000913.wav",8632.78,8633.73,3,3,3,2,3,2,3,1,4,3,2,2,2,1,2,2,3,FALSE
"30","0344_000913.wav",8646.87,8647.47,3,2,2,2,3,2,2,1,4,3,2,2,1,1,1,2,3,FALSE
"31","0344_000913.wav",8651.17,8652.97,3,2,3,2,2,2,1,1,4,2,2,2,2,1,1,2,3,FALSE
"32","0344_000913.wav",8654.85,8656.64,2,2,2,2,2,2,1,1,3,2,2,2,2,1,1,1,3,FALSE
"33","0344_000913.wav",8713.61,8714.34,4,4,5,5,5,3,5,4,5,5,5,5,4,5,5,5,5,FALSE
"34","0344_000913.wav",8714.34,8715.35,4,3,4,4,4,3,3,3,4,4,3,3,4,3,4,4,4,FALSE
"35","0344_000913.wav",8715.35,8717.11,2,1,2,2,2,2,1,1,4,2,2,1,2,1,1,1,3,FALSE
"36","0344_000913.wav",8803.54,8806.65,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,FALSE
"37","0344_000913.wav",8826.34,8828.2,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,FALSE
"38","0344_000913.wav",8947.49,8948.37,4,4,4,4,4,4,3,4,5,4,2,3,4,2,4,4,4,FALSE
"39","0344_000913.wav",9446.7,9447.82,2,1,2,2,2,2,2,1,4,2,2,2,2,1,1,2,3,FALSE
"40","0344_000913.wav",9454.07,9457.79,2,1,2,1,1,2,1,1,3,2,2,1,1,1,1,1,2,FALSE
"41","0344_000913.wav",9488.56,9489.16,2,1,2,1,2,2,2,1,3,2,2,1,1,1,1,1,2,FALSE
"42","0344_000913.wav",9501.21,9502.08,2,1,2,2,2,2,1,1,2,2,2,1,2,1,1,2,3,FALSE
"43","0344_000913.wav",9516.18,9517.89,2,2,2,2,2,2,2,1,3,2,2,2,2,1,1,2,3,FALSE
"44","0344_000913.wav",9519.71,9522.22,2,2,2,1,2,2,1,1,3,2,2,1,1,1,1,2,3,FALSE
"45","0344_000913.wav",9543.85,9544.52,2,2,2,2,3,2,2,1,3,2,2,2,2,1,2,3,3,FALSE
"46","0344_000913.wav",9573.88,9574.48,2,2,3,2,3,2,2,1,3,3,2,2,2,1,1,2,3,FALSE
"47","0344_000913.wav",9611.46,9612.19,2,3,3,3,3,2,2,1,3,2,2,2,2,1,2,2,3,FALSE
"48","0344_000913.wav",9623.58,9624.4,2,3,3,3,3,2,2,1,3,2,2,2,3,1,2,2,3,FALSE
"49","0344_000913.wav",9626.05,9626.65,2,1,2,1,2,2,1,1,3,2,2,1,1,1,1,1,2,FALSE
"50","0344_000913.wav",9642.76,9643.8,2,1,2,1,2,2,1,1,3,2,2,1,1,1,1,1,2,FALSE
"51","0344_000913.wav",9648.04,9649.75,2,2,3,2,2,2,2,1,3,4,2,2,2,1,2,2,3,FALSE
"52","0344_000913.wav",9653.39,9654.48,2,1,2,1,2,2,1,1,3,2,2,1,1,1,1,1,2,FALSE
"53","0344_000913.wav",9657.7,9658.88,2,3,2,2,2,2,2,1,3,2,2,2,2,1,2,2,3,FALSE
"54","0344_000913.wav",9663.28,9664.07,2,3,3,2,2,2,1,1,2,2,2,2,2,1,2,2,3,FALSE
"55","0344_000913.wav",9664.87,9668.14,2,3,3,3,2,2,2,1,2,2,2,2,2,1,2,2,3,FALSE
"56","0344_000913.wav",9669.27,9669.87,2,1,3,2,2,2,3,1,2,2,2,1,2,1,2,2,3,FALSE
"57","0344_000913.wav",9671.55,9672.66,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1,3,FALSE
"58","0344_000913.wav",9674.46,9675.18,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,3,FALSE
"59","0344_000913.wav",9677.57,9678.69,3,4,3,4,3,2,4,4,4,5,4,3,4,2,3,4,4,FALSE
"60","0344_000913.wav",9685.14,9685.75,2,1,2,1,2,2,1,1,3,2,1,1,1,1,1,1,2,FALSE
"61","0344_000913.wav",9694.36,9695.86,1,1,1,1,2,2,1,1,3,2,2,1,1,1,1,1,2,FALSE
"62","0344_000913.wav",9776.67,9777.65,2,1,2,2,2,2,1,1,3,2,2,1,1,1,1,1,2,FALSE
"63","0344_000913.wav",9782.66,9783.84,1,1,1,1,1,2,1,1,3,2,2,1,1,1,1,1,2,FALSE
"64","0344_000913.wav",9785.47,9786.18,2,2,2,2,2,2,2,1,3,2,2,2,2,1,2,2,3,FALSE
"65","0344_000913.wav",9786.18,9787.29,2,2,2,2,2,2,2,1,3,2,2,2,2,1,2,2,3,FALSE
"66","0344_000913.wav",9787.29,9787.91,2,3,2,2,3,2,2,2,3,2,2,2,2,1,2,2,3,FALSE
"67","0344_000913.wav",9806.65,9807.62,2,1,1,1,2,2,1,1,3,2,2,1,2,1,1,1,2,FALSE
"68","0344_000913.wav",9807.62,9808.75,2,2,2,1,2,2,2,1,3,2,2,1,2,1,1,1,3,FALSE
"69","0344_000913.wav",9808.75,9809.35,2,2,2,2,2,2,1,1,3,2,2,1,2,1,1,2,3,FALSE
"70","0344_000913.wav",9818.6,9819.83,2,1,1,1,2,2,1,1,3,2,2,1,1,1,1,1,2,FALSE
"71","0344_000913.wav",9947.57,9948.17,5,5,5,5,5,5,5,5,3,5,5,5,2,4,5,5,5,FALSE
"72","0344_000913.wav",9950.94,9951.6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,FALSE
"73","0344_000913.wav",9965.6,9966.2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,FALSE
"74","0344_000913.wav",9968.16,9968.76,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,FALSE
"75","0344_000913.wav",9969.69,9970.35,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,FALSE
"76","0344_000913.wav",9971.15,9973.14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,FALSE
"77","0344_000913.wav",9973.98,9974.6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,FALSE
"78","0344_000913.wav",10027.06,10027.7,4,5,5,5,5,2,5,5,5,5,3,5,5,2,5,5,5,FALSE
"79","0344_000913.wav",10113.27,10114.88,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,3,FALSE
"80","0344_000913.wav",10123.23,10124.07,3,3,5,3,3,2,3,5,5,2,2,2,2,1,5,2,3,FALSE
"81","0344_000913.wav",10479.11,10480.29,2,2,2,2,2,2,1,2,3,2,2,1,2,1,1,2,3,FALSE
"82","0344_000913.wav",10489.57,10490.84,2,2,3,2,2,2,2,2,3,3,2,1,2,1,2,2,3,FALSE
"83","0344_000913.wav",10491.64,10492.6,2,2,2,2,2,2,2,2,3,2,2,1,2,1,2,2,3,FALSE
"84","0344_000913.wav",10495.43,10496.29,2,2,2,2,2,2,2,2,3,2,2,1,2,1,2,2,3,FALSE
"85","0344_000913.wav",10501.94,10502.75,2,2,2,2,2,2,1,2,3,2,2,1,2,1,2,2,3,FALSE
"86","0344_000913.wav",10503.55,10505.66,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,3,FALSE
"87","0344_000913.wav",10510.43,10513.15,2,2,2,2,2,2,2,2,3,2,2,1,2,1,2,2,3,FALSE
"88","0344_000913.wav",10542.88,10544.13,2,2,3,3,2,2,2,2,3,2,2,2,2,1,2,2,3,FALSE
"89","0344_000913.wav",10544.93,10545.53,2,1,2,2,2,2,1,2,3,2,2,1,2,1,2,2,3,FALSE
"90","0344_000913.wav",10546.33,10546.93,2,2,2,2,2,2,2,2,3,2,2,1,1,1,2,2,3,FALSE
"91","0344_000913.wav",10570.35,10571.03,1,1,1,1,2,2,2,1,3,2,2,1,1,1,1,1,2,FALSE
"92","0344_000913.wav",10571.83,10572.43,2,2,2,2,2,2,2,1,3,2,2,2,2,1,1,2,3,FALSE
"93","0344_000913.wav",10575.03,10575.89,1,1,1,1,2,2,1,1,3,2,2,1,1,1,1,1,2,FALSE
"94","0344_000913.wav",10576.69,10577.29,1,1,2,2,2,2,1,1,3,2,2,1,1,1,2,1,2,FALSE
"95","0344_000913.wav",10578.12,10578.73,2,1,1,2,2,2,2,1,3,2,2,1,2,1,2,2,3,FALSE
"96","0344_000913.wav",10593.75,10594.89,2,3,2,2,3,2,3,2,3,2,2,2,2,1,2,2,3,FALSE
"97","0344_000913.wav",10596.06,10596.71,2,2,2,2,2,2,2,2,3,2,2,2,1,1,2,2,3,FALSE
"98","0344_000913.wav",10597.51,10599.9,2,1,1,1,1,2,1,1,3,2,2,1,1,1,1,1,2,FALSE
"99","0344_000913.wav",10601.16,10603.29,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,3,FALSE
"100","0344_000913.wav",10604.09,10604.69,2,2,3,2,3,2,2,2,3,2,2,2,2,2,2,3,2,FALSE
"101","0344_000913.wav",10610.28,10614.82,2,3,3,2,2,2,2,2,3,2,2,2,2,1,2,2,3,FALSE
"102","0344_000913.wav",10615.62,10617.03,2,3,3,1,2,2,2,2,3,2,2,2,2,1,2,2,3,FALSE
"103","0344_000913.wav",10618.09,10618.7,2,3,3,3,3,2,2,2,3,2,2,2,2,1,3,2,3,FALSE
"104","0344_000913.wav",10623.56,10628.71,2,3,3,2,2,2,2,2,3,2,2,2,2,1,3,2,3,FALSE
"105","0344_000913.wav",10630.33,10631.29,2,2,3,2,2,2,2,2,3,2,2,2,2,1,3,2,3,FALSE
"106","0344_000913.wav",10666.29,10667.03,2,2,3,2,2,2,2,2,3,2,2,1,2,1,2,2,3,FALSE
"107","0344_000913.wav",10667.03,10667.83,2,2,3,2,2,2,2,2,3,2,2,2,2,1,2,2,3,FALSE
"108","0344_000913.wav",10667.83,10668.43,2,1,3,1,1,2,1,2,3,2,2,1,1,1,1,2,2,FALSE
