"","recording","startSeconds","endSeconds","cvai_1_targetChildProminence","eoce_1_targetChildProminence","jkwa_1_targetChildProminence","jvfs_1_targetChildProminence","lant_2_targetChildProminence","lskw_1_targetChildProminence","mrkf_1_targetChildProminence","pdav_1_targetChildProminence","pwwr_1_targetChildProminence","qoth_2_targetChildProminence","szch_2_targetChildProminence","vgvn_1_targetChildProminence","xgju_1_targetChildProminence","yzxn_1_targetChildProminence","modal_prominence","clean"
"1","0437_010603_scrubbed.wav",3166.93,3167.53,2,2,2,2,2,2,1,4,3,2,2,2,1,2,2,FALSE
"2","0437_010603_scrubbed.wav",3168.93,3169.53,2,2,2,2,3,4,1,3,2,2,2,2,1,2,2,FALSE
"3","0437_010603_scrubbed.wav",3178.95,3180.29,3,2,2,3,3,2,1,3,4,2,2,2,1,3,2,FALSE
"4","0437_010603_scrubbed.wav",3182.37,3182.97,2,2,1,3,2,2,1,4,4,2,1,2,1,2,2,FALSE
"5","0437_010603_scrubbed.wav",3185.47,3186.07,2,2,1,1,1,2,1,2,3,2,1,1,1,1,1,TRUE
"6","0437_010603_scrubbed.wav",3278.71,3279.31,2,5,5,2,3,5,1,2,5,2,2,3,1,5,2,FALSE
"7","0437_010603_scrubbed.wav",3285.07,3285.99,2,2,3,3,3,2,1,2,4,2,2,2,1,2,2,FALSE
"8","0437_010603_scrubbed.wav",3289.11,3289.76,2,2,2,2,2,2,1,3,3,2,1,2,1,2,2,FALSE
"9","0437_010603_scrubbed.wav",3291.59,3292.94,2,2,3,2,3,2,1,3,3,2,2,2,1,2,2,FALSE
"10","0437_010603_scrubbed.wav",3294.68,3295.52,2,2,2,1,2,2,1,3,2,2,1,1,1,2,2,FALSE
"11","0437_010603_scrubbed.wav",3302.82,3303.69,2,2,2,2,3,2,1,2,3,2,2,2,1,2,2,FALSE
"12","0437_010603_scrubbed.wav",3382.88,3383.48,2,3,3,3,4,2,2,4,3,2,4,2,1,4,2,FALSE
"13","0437_010603_scrubbed.wav",3526.29,3526.94,2,2,1,3,2,2,1,3,3,2,2,1,1,1,2,FALSE
"14","0437_010603_scrubbed.wav",3607.29,3607.92,2,2,1,3,2,2,1,3,2,2,1,2,1,1,2,FALSE
"15","0437_010603_scrubbed.wav",3649.03,3649.63,2,2,1,2,2,2,1,2,2,2,1,2,1,2,2,FALSE
