"","recording","startSeconds","endSeconds","blky_1_targetChildProminence","cvai_1_targetChildProminence","eoce_1_targetChildProminence","jkwa_1_targetChildProminence","jvfs_1_targetChildProminence","kfav_1_targetChildProminence","lant_2_targetChildProminence","lplf_1_targetChildProminence","lskw_1_targetChildProminence","mrkf_1_targetChildProminence","pdav_1_targetChildProminence","pwwr_1_targetChildProminence","qoth_2_targetChildProminence","szch_1_targetChildProminence","ukqu_1_targetChildProminence","vgvn_1_targetChildProminence","xgju_1_targetChildProminence","yzxn_2_targetChildProminence","ztcp_1_targetChildProminence","modal_prominence","clean"
"1","0054_000603_scrubbed.wav",29.49,30.51,1,1,1,1,1,1,2,2,2,1,2,2,2,1,1,2,1,1,2,1,TRUE
"2","0054_000603_scrubbed.wav",36.18,37.06,1,2,1,2,1,1,2,2,2,1,2,2,2,1,1,2,1,2,2,2,FALSE
"3","0054_000603_scrubbed.wav",38.36,38.99,1,2,1,2,1,1,2,2,2,1,2,2,2,1,2,1,1,1,2,1,TRUE
"4","0054_000603_scrubbed.wav",39.79,40.39,1,2,1,2,2,1,2,2,2,1,3,2,2,1,2,1,1,1,1,1,TRUE
"5","0054_000603_scrubbed.wav",51.23,51.95,1,2,2,3,3,2,2,2,2,1,3,2,2,2,2,2,1,1,2,2,FALSE
"6","0054_000603_scrubbed.wav",54.04,55.74,1,2,2,3,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,FALSE
"7","0054_000603_scrubbed.wav",56.54,57.46,2,2,1,3,2,1,2,2,2,1,3,3,2,2,2,2,1,1,2,2,FALSE
"8","0054_000603_scrubbed.wav",59.75,60.35,2,2,2,3,3,1,2,2,2,2,3,2,2,2,2,2,1,1,2,2,FALSE
"9","0054_000603_scrubbed.wav",74.55,76.18,1,2,1,1,1,1,1,1,2,2,1,2,2,1,2,1,1,1,1,1,TRUE
"10","0054_000603_scrubbed.wav",90.19,91.05,1,2,1,2,4,1,2,2,2,1,4,1,2,1,1,1,1,1,2,1,TRUE
"11","0054_000603_scrubbed.wav",92.39,93.04,1,2,1,1,2,1,1,2,2,2,1,1,2,1,1,1,1,1,2,1,TRUE
"12","0054_000603_scrubbed.wav",95.92,97.43,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,1,2,2,FALSE
"13","0054_000603_scrubbed.wav",100.73,101.53,1,2,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,TRUE
"14","0054_000603_scrubbed.wav",104.52,105.12,1,2,2,2,1,1,2,2,2,1,3,2,2,1,2,1,1,1,2,1,TRUE
"15","0054_000603_scrubbed.wav",126.9,127.83,1,2,1,1,1,1,1,1,2,1,3,2,2,1,2,1,1,1,1,1,TRUE
"16","0054_000603_scrubbed.wav",557.48,558.09,1,2,1,1,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,FALSE
