"","recording","startSeconds","endSeconds","blky_1_targetChildProminence","cvai_1_targetChildProminence","eoce_1_targetChildProminence","jkwa_1_targetChildProminence","jvfs_1_targetChildProminence","kfav_1_targetChildProminence","lant_2_targetChildProminence","lskw_1_targetChildProminence","mrkf_1_targetChildProminence","pdav_1_targetChildProminence","pwwr_1_targetChildProminence","qoth_2_targetChildProminence","szch_2_targetChildProminence","vgvn_1_targetChildProminence","xgju_1_targetChildProminence","yzxn_2_targetChildProminence","modal_prominence","clean"
"1","0833_010606.wav",160.64,161.24,1,2,1,1,1,2,2,1,1,2,2,2,1,1,1,1,1,TRUE
"2","0833_010606.wav",171.84,172.53,1,2,1,2,1,1,2,1,1,2,2,2,1,1,1,2,1,TRUE
"3","0833_010606.wav",260.88,261.52,1,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,TRUE
"4","0833_010606.wav",290.84,291.44,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,TRUE
"5","0833_010606.wav",407.43,408.23,1,1,1,1,1,1,2,1,1,2,5,1,1,1,1,1,1,TRUE
"6","0833_010606.wav",422.92,423.53,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,TRUE
"7","0833_010606.wav",443.13,444.41,1,2,3,3,2,3,2,2,2,3,2,2,2,2,1,2,2,FALSE
"8","0833_010606.wav",451.59,452.19,1,2,1,2,1,1,2,1,1,2,2,1,1,2,1,1,1,TRUE
"9","0833_010606.wav",466.2,466.9,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,TRUE
"10","0833_010606.wav",552.95,553.55,1,2,2,3,2,2,2,2,1,3,2,2,1,1,1,2,2,FALSE
"11","0833_010606.wav",622.87,623.47,1,2,4,4,4,3,3,2,4,4,4,3,2,3,1,2,4,FALSE
"12","0833_010606.wav",624.27,624.87,1,2,2,2,2,2,2,2,1,3,2,2,2,2,1,2,2,FALSE
"13","0833_010606.wav",626.42,627.02,2,2,4,4,3,3,3,2,3,3,4,3,2,2,1,3,3,FALSE
"14","0833_010606.wav",638.32,638.92,2,2,2,2,2,2,2,2,1,2,2,3,1,2,1,2,2,FALSE
"15","0833_010606.wav",652.51,653.11,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1,2,2,FALSE
