"","recording","startSeconds","endSeconds","blky_1_targetChildProminence","cvai_1_targetChildProminence","ejkq_1_targetChildProminence","eoce_1_targetChildProminence","jkwa_1_targetChildProminence","jvfs_2_targetChildProminence","kfav_1_targetChildProminence","lant_2_targetChildProminence","lskw_1_targetChildProminence","lyur_1_targetChildProminence","pdav_1_targetChildProminence","pwwr_1_targetChildProminence","qoth_2_targetChildProminence","szch_2_targetChildProminence","vgvn_1_targetChildProminence","xgju_1_targetChildProminence","yzxn_2_targetChildProminence","ztcp_1_targetChildProminence","modal_prominence","clean"
"1","0857_000301_scrubbed.wav",55.03,56.05,1,1,2,2,5,1,1,1,1,2,2,1,2,1,1,1,1,1,1,TRUE
"2","0857_000301_scrubbed.wav",61.32,61.93,1,1,1,2,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,TRUE
"3","0857_000301_scrubbed.wav",62.73,63.33,1,1,1,2,2,1,1,2,1,2,2,1,2,1,1,1,1,1,1,TRUE
"4","0857_000301_scrubbed.wav",66.31,66.92,1,1,1,2,2,1,1,2,2,1,2,2,2,1,1,1,1,1,1,TRUE
"5","0857_000301_scrubbed.wav",68.02,72.32,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,TRUE
"6","0857_000301_scrubbed.wav",73.26,81.1,2,2,1,2,2,2,2,2,2,1,1,3,2,1,2,1,1,2,2,FALSE
"7","0857_000301_scrubbed.wav",81.1,82.11,1,1,2,2,1,1,1,2,1,1,2,4,2,1,1,1,1,1,1,TRUE
"8","0857_000301_scrubbed.wav",82.11,87.77,1,2,2,2,2,1,2,2,3,1,2,2,2,1,2,1,1,1,2,FALSE
"9","0857_000301_scrubbed.wav",89,90.3,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,TRUE
"10","0857_000301_scrubbed.wav",91.32,92.19,1,2,2,2,3,2,2,3,3,2,2,3,2,2,2,1,2,2,2,FALSE
"11","0857_000301_scrubbed.wav",92.99,93.67,1,2,2,2,1,1,2,2,2,1,1,2,2,2,2,1,2,2,2,FALSE
"12","0857_000301_scrubbed.wav",98.88,103.48,1,2,2,2,3,2,2,4,3,2,2,4,2,2,3,1,1,2,2,FALSE
"13","0857_000301_scrubbed.wav",104.35,106.56,1,1,2,2,2,2,1,2,1,1,2,3,2,2,2,1,1,1,1,TRUE
"14","0857_000301_scrubbed.wav",107.36,109.23,1,1,1,2,2,1,1,2,1,2,3,2,2,1,1,1,1,1,1,TRUE
"15","0857_000301_scrubbed.wav",109.23,110.23,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,1,1,2,FALSE
"16","0857_000301_scrubbed.wav",110.23,112,1,2,3,2,3,2,3,3,3,2,2,3,2,2,2,1,2,2,2,FALSE
"17","0857_000301_scrubbed.wav",113.08,134.12,1,2,2,2,2,1,1,2,1,2,3,4,2,1,2,1,1,2,1,TRUE
"18","0857_000301_scrubbed.wav",136.36,149.37,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,TRUE
"19","0857_000301_scrubbed.wav",150.17,165.97,1,1,2,2,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,TRUE
"20","0857_000301_scrubbed.wav",167.2,167.95,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,1,2,2,2,FALSE
"21","0857_000301_scrubbed.wav",168.75,179.72,1,2,2,2,2,2,2,2,2,1,1,4,2,2,2,1,2,2,2,FALSE
"22","0857_000301_scrubbed.wav",181.25,184,1,2,2,2,2,2,2,2,2,2,2,4,2,2,3,1,2,3,2,FALSE
"23","0857_000301_scrubbed.wav",191.12,192.83,1,2,2,2,2,2,2,2,3,3,2,4,2,2,2,1,1,2,2,FALSE
"24","0857_000301_scrubbed.wav",199.83,201.1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,FALSE
"25","0857_000301_scrubbed.wav",203.54,204.14,1,2,1,2,2,1,2,2,1,2,2,3,2,1,2,1,2,1,2,FALSE
"26","0857_000301_scrubbed.wav",206.69,207.47,1,2,2,2,3,3,2,2,1,2,2,3,2,1,2,1,2,1,2,FALSE
