"","b","a","avg_ent","sd_ent","n_runs"
"1","196","9",5.58297135853925,0.0523894616100326,10
"2","204","6",5.41181313647005,0.0643341544612353,10
"3","274","3",4.55314915974688,0.113532745848615,10
"4","300","6",5.02261455622369,0.162262347124275,10
"5","340","3",4.71283073452403,0.135515574839441,10
"6","344","9",4.56043452364677,0.125803611031029,10
"7","437","18",5.46471970520391,0.0610147511085998,10
"8","54","6",4.9383842101123,0.0946921566561253,10
"9","833","18",5.45147969363882,0.0510900541458107,10
"10","857","3",4.84874006425191,0.0715963365655357,10
