"l","run","baby","a","this_entropy","this_meandist"
"1","1","54","6","5.32083638851248","3.65645583620356"
"1","1","196","9","5.30490405445593","3.37002772325084"
"1","1","204","6","5.52449615858353","3.31443206990893"
"1","1","274","3","4.77525193191254","3.30977916359943"
"1","1","300","6","5.25036306443967","3.26836482629702"
"1","1","340","3","5.15223221406795","3.31515331033349"
"1","1","344","9","4.71244678337316","3.1610667634754"
"1","1","437","18","5.28891563028908","3.07976771278343"
"1","1","833","18","5.26255302036046","2.79407346348526"
"1","1","857","3","5.16440688470092","3.23807150838705"
"1","2","54","6","5.33804930335825","3.62521787412267"
"1","2","196","9","5.23309905022664","3.41890244375355"
"1","2","204","6","5.6735163911522","3.26297157837026"
"1","2","274","3","4.70137563421779","3.18908686497269"
"1","2","300","6","4.90235943233517","3.01848796674633"
"1","2","340","3","5.08944011338457","3.50836062239144"
"1","2","344","9","4.83969244296099","3.07039098991714"
"1","2","437","18","5.33243094817841","3.06492815449386"
"1","2","833","18","5.21926902359432","2.91084272291344"
"1","2","857","3","5.31106636391215","3.09632813592991"
"1","3","54","6","5.37711609009499","3.57665832798895"
"1","3","196","9","5.37123219381581","3.37270542057885"
"1","3","204","6","5.63754535685186","3.3963710789461"
"1","3","274","3","4.66081195648261","3.35664097859967"
"1","3","300","6","5.19206434015206","3.30778601845235"
"1","3","340","3","5.14978339050672","3.34820827252835"
"1","3","344","9","4.94778289588871","3.38487241056354"
"1","3","437","18","5.19035163718433","2.83831176806457"
"1","3","833","18","5.38346460987144","3.03848248423273"
"1","3","857","3","5.16356903988652","2.96674094781179"
"1","4","54","6","5.23648256881158","3.60440011626219"
"1","4","196","9","5.11962067082733","3.53201239688774"
"1","4","204","6","5.51805721268656","3.38064049105876"
"1","4","274","3","4.49078782831363","3.08715711411196"
"1","4","300","6","4.9215356660521","3.47664653885801"
"1","4","340","3","5.07277101453964","3.45573230831362"
"1","4","344","9","4.63556464345795","3.08932252232389"
"1","4","437","18","5.29877804573222","3.18287277209394"
"1","4","833","18","5.02901968978923","2.92756874033477"
"1","4","857","3","5.04938728881708","3.21212717036585"
"1","5","54","6","5.42467821410735","3.67455044272237"
"1","5","196","9","5.45433273787574","3.32266450760364"
"1","5","204","6","5.68074857856349","3.3516581222204"
"1","5","274","3","4.4647195253366","2.99480775926313"
"1","5","300","6","4.8599331724481","3.41712604836685"
"1","5","340","3","5.09396679413916","3.63500476510716"
"1","5","344","9","4.72494271498417","2.67494073601746"
"1","5","437","18","5.32271348776216","3.17282651119849"
"1","5","833","18","5.37362911575399","2.87218159636956"
"1","5","857","3","5.16582703934704","3.36255179657268"
"1","6","54","6","5.18440444095091","3.61752973741864"
"1","6","196","9","5.43317452991597","3.13596345044443"
"1","6","204","6","5.6993097708297","3.47603013181721"
"1","6","274","3","4.66746442627722","2.97955526323687"
"1","6","300","6","4.82932365124766","3.49561390175613"
"1","6","340","3","5.13670677594926","3.25251858223052"
"1","6","344","9","4.69055109822663","3.0961213366855"
"1","6","437","18","5.24790579973153","2.88357401297419"
"1","6","833","18","5.37180041240436","2.76943069255415"
"1","6","857","3","5.02213264245453","3.05511461381287"
"1","7","54","6","5.25473369593896","3.8095174983418"
"1","7","196","9","5.28289666807772","3.20812913744391"
"1","7","204","6","5.59491639469984","3.47033842938691"
"1","7","274","3","4.48934122021885","3.22631338408519"
"1","7","300","6","5.25635540697831","3.56183639268608"
"1","7","340","3","5.106422283221","3.52445934027595"
"1","7","344","9","4.49732778614099","3.05479905495697"
"1","7","437","18","5.24460924625594","2.90823555468294"
"1","7","833","18","5.18497275988852","2.86257388554754"
"1","7","857","3","5.26589139689407","3.30431585402694"
"1","8","54","6","5.151116520087","3.74608114061268"
"1","8","196","9","5.32742109719558","3.28542749679925"
"1","8","204","6","5.52780406670825","3.32334694700047"
"1","8","274","3","4.45905619062062","3.27975476226176"
"1","8","300","6","5.20168426074921","3.39622456678492"
"1","8","340","3","5.12605350181613","3.47538753653977"
"1","8","344","9","4.71095072879273","2.9325684611961"
"1","8","437","18","5.35059184034896","3.14776526704735"
"1","8","833","18","5.22911887943991","2.94380697585321"
"1","8","857","3","5.08938320413505","3.26844602299259"
"1","9","54","6","5.42136575417498","3.57930221901666"
"1","9","196","9","5.40761907259248","3.24581236980847"
"1","9","204","6","5.59920590307997","3.22425382564627"
"1","9","274","3","4.70707243189301","3.13643159285481"
"1","9","300","6","4.94778192058916","3.33570009650302"
"1","9","340","3","5.28437124972073","3.46230930339403"
"1","9","344","9","4.80828523930781","3.12293948153851"
"1","9","437","18","5.31598604293979","3.12122554417498"
"1","9","833","18","5.39414263632888","3.12722979754848"
"1","9","857","3","5.18349218722052","3.25949470740702"
"1","10","54","6","5.6093999347907","3.48124789656616"
"1","10","196","9","5.36778321714028","3.33639181353225"
"1","10","204","6","5.64812471105748","3.28844400352577"
"1","10","274","3","4.81958695658815","3.28234958003608"
"1","10","300","6","4.95493805150503","3.31266949868193"
"1","10","340","3","5.26106044457492","3.45427264816858"
"1","10","344","9","4.7802154388171","2.92837861695216"
"1","10","437","18","5.41905185866536","3.14155152525293"
"1","10","833","18","5.38706891666561","3.06139154955197"
"1","10","857","3","5.3575299689553","3.2807385489841"
"2","1","54","6","5.4148110956283","3.51557392494847"
"2","1","196","9","5.47513097985548","3.06101970509859"
"2","1","204","6","5.71219712987197","3.31177881812291"
"2","1","274","3","4.40393222536946","3.32050180519108"
"2","1","300","6","4.700749252875","3.13005207951451"
"2","1","340","3","5.15976275095009","3.52064240462687"
"2","1","344","9","4.73577224756099","2.66944034567997"
"2","1","437","18","5.32500666789668","3.00292959650194"
"2","1","833","18","5.43056858983316","2.81094110441772"
"2","1","857","3","5.35825784472142","3.21074199977813"
"2","2","54","6","5.45073077118612","3.46852789721195"
"2","2","196","9","5.64472175758714","3.04696732278243"
"2","2","204","6","5.78864872554577","3.20053375403756"
"2","2","274","3","4.51203474989456","3.28214689550739"
"2","2","300","6","5.33375217929377","3.12051683564135"
"2","2","340","3","5.41684510889635","3.47129466220385"
"2","2","344","9","4.93838116691505","2.864388814079"
"2","2","437","18","5.43541077305738","3.10632665718355"
"2","2","833","18","5.55008437379048","3.11096214651555"
"2","2","857","3","5.43265866419089","3.06011545955503"
"2","3","54","6","5.59065823281521","3.34238752831421"
"2","3","196","9","5.47748666451982","3.21828579830995"
"2","3","204","6","5.62752364932101","3.40417864107788"
"2","3","274","3","4.64236660322669","2.78037446253911"
"2","3","300","6","5.041521874829","3.43815876205344"
"2","3","340","3","5.40725410915352","3.493434223916"
"2","3","344","9","4.81756092198109","3.04729779068768"
"2","3","437","18","5.35702512763991","3.09669741532852"
"2","3","833","18","5.46580656435989","2.97321704022622"
"2","3","857","3","5.20317911610645","3.11463479927805"
"2","4","54","6","5.30610277800481","3.22103335628363"
"2","4","196","9","5.46408140636916","3.08423806017731"
"2","4","204","6","5.68606392500546","3.43053348170824"
"2","4","274","3","4.735677389256","3.05288679689614"
"2","4","300","6","5.39252091728383","3.30196352267117"
"2","4","340","3","5.20163841418604","3.17969584873442"
"2","4","344","9","4.88286064642073","2.88084792751834"
"2","4","437","18","5.35327829569126","3.07897401987773"
"2","4","833","18","5.67987883806924","3.03630004177324"
"2","4","857","3","4.93610658645679","2.86912596468778"
"2","5","54","6","5.3836792054059","3.40058821737166"
"2","5","196","9","5.5257102098371","2.97200110069998"
"2","5","204","6","5.64819404395021","3.15543206510604"
"2","5","274","3","4.63238172690924","3.51618372068093"
"2","5","300","6","5.45618344121457","3.14666992129846"
"2","5","340","3","4.93479705822307","3.31186685388134"
"2","5","344","9","4.86328076702692","2.89949645973921"
"2","5","437","18","5.39475893760362","3.08441378645615"
"2","5","833","18","5.49825335382162","3.01107134923168"
"2","5","857","3","5.27453214148899","2.98686510988681"
"2","6","54","6","5.45506319922166","3.75460538181228"
"2","6","196","9","5.35518371668359","3.24021629882087"
"2","6","204","6","5.48560736553318","3.28091724075643"
"2","6","274","3","4.70876713295908","3.15578293269231"
"2","6","300","6","4.78856430860115","3.6114684274748"
"2","6","340","3","4.95554217630279","3.50491901621296"
"2","6","344","9","4.5615301971646","2.86972032125276"
"2","6","437","18","5.40528270499518","3.17495469702619"
"2","6","833","18","5.2311955077515","2.79334693859529"
"2","6","857","3","5.20039444664377","3.27094528510637"
"2","7","54","6","5.32314078170868","3.35953410287888"
"2","7","196","9","5.26381067318909","2.95141031332927"
"2","7","204","6","5.67555180023516","3.23933478880725"
"2","7","274","3","4.76604598676421","3.17169393697922"
"2","7","300","6","5.25613405342507","3.32530694926857"
"2","7","340","3","5.20268636232878","3.70904568435198"
"2","7","344","9","4.73087770032727","2.8206081978596"
"2","7","437","18","5.22694601636143","2.93286136312325"
"2","7","833","18","5.38692710297654","2.87189561495047"
"2","7","857","3","5.29581920831948","3.22023422609765"
"2","8","54","6","5.31737554664718","3.43653482109447"
"2","8","196","9","5.47935995316149","2.89221887790821"
"2","8","204","6","5.68740399506859","3.2782225192983"
"2","8","274","3","4.49979849991314","2.81560750295866"
"2","8","300","6","5.34134775079733","3.11796917307436"
