"l","infant","age","entropy_avg","entropy_sd","avgpairdist_avg","avgpairdist_sd","avgmfccdist","nRuns"
1,"54","6",5.33181829108272,0.135531672669171,3.63709610892557,0.0920500989701305,37.1489773901387,10
1,"196","9",5.33020832921235,0.100973045009068,3.32280367601029,0.112196441485889,37.1223447020961,10
1,"204","6",5.61037245442129,0.0683872662745611,3.34884866778811,0.0833961044932571,38.6161606044495,10
1,"274","3",4.6235468101861,0.135694446134874,3.18418764630216,0.131451519869488,35.6009617002659,10
1,"300","6",5.03163389664965,0.171643929795711,3.35904558551326,0.151981872387948,34.8336222518353,10
1,"340","3",5.14728077819201,0.0712911412054309,3.44314066892829,0.111104390946128,35.4596679041955,10
1,"344","9",4.73477597719502,0.121651172067895,3.05154003736267,0.183525792495271,37.9585103109621,10
1,"437","18",5.30113345370878,0.0636590884474494,3.05410588227667,0.128798460678728,35.964574087927,10
1,"833","18",5.28350390640967,0.1205869915469,2.93075819083911,0.115776294152274,36.5472692919872,10
1,"857","3",5.17726860163232,0.108994079752788,3.20439293062908,0.124544066770813,37.9961946444882,10
2,"54","6",5.37996847032028,0.11302438114936,3.43221857467516,0.138374743101014,37.1489773901387,10
2,"196","9",5.45998105960344,0.0994984293011564,3.04797561897861,0.113839517137635,37.1223447020961,10
2,"204","6",5.65625920177962,0.0795411977072489,3.2936175872534,0.0973391451252484,38.6161606044495,10
2,"274","3",4.62478103195292,0.116523182072496,3.12457186196281,0.229779926056156,35.6009617002659,10
2,"300","6",5.13451576485453,0.296760173358351,3.26097793233348,0.175115599649393,34.8336222518353,10
2,"340","3",5.21037394491532,0.172500863634047,3.43663363975319,0.141181464461642,35.4596679041955,10
2,"344","9",4.80833395783834,0.119444097699578,2.89192225058837,0.118770861694067,37.9585103109621,10
2,"437","18",5.36175532730048,0.0651017519309512,3.04468781226261,0.0751359128576024,35.964574087927,10
2,"833","18",5.48433737553994,0.125496045203648,2.92757001253088,0.116661473136683,36.5472692919872,10
2,"857","3",5.24957593662598,0.131831994284751,3.13606830973587,0.133481987040499,37.9961946444882,10
3,"54","6",5.49053955071882,0.0618638525574606,3.42472455055913,0.119556333274343,37.1489773901387,10
3,"196","9",5.36686837071228,0.0907703928197421,3.00251123112144,0.097161883809804,37.1223447020961,10
3,"204","6",5.70252599643876,0.0832969936792885,3.46599193507693,0.0736711419829441,38.6161606044495,10
3,"274","3",4.71251945691253,0.103621874665612,3.03479993695002,0.146410201988749,35.6009617002659,10
3,"300","6",5.17639186648757,0.232957525314863,3.28737151925125,0.173105907154678,34.8336222518353,10
3,"340","3",5.33550875543278,0.0830135604870665,3.405820867706,0.172776776668449,35.4596679041955,10
3,"344","9",4.86848566521798,0.0897594496824664,2.85946063844944,0.128485373054375,37.9585103109621,10
3,"437","18",5.48382913899209,0.068558573685769,3.16414852825722,0.143749856655498,35.964574087927,10
3,"833","18",5.45680588765466,0.086014975496393,2.92509814316419,0.0843563058234134,36.5472692919872,10
3,"857","3",5.24041382556875,0.125026619937877,3.11162015204352,0.117424112762554,37.9961946444882,10
